minute;player1;player2;zone1;zone2
15;22;5;5;4
15;5;4;4;2
15;4;5;2;4
15;5;19;4;4
15;19;3;4;6
15;3;8;6;6
15;8;20;6;7
15;20;5;7;7
15;5;10;7;7
15;10;4;7;8
16;13;4;4;2
16;4;5;2;4
16;5;3;4;3
16;3;19;3;4
16;19;13;4;4
16;13;24;4;2
16;4;10;8;8
17;5;4;4;5
17;4;22;5;7
17;22;10;7;7
17;10;24;7;7
17;24;22;1;1
21;5;19;4;4
21;19;20;4;4
21;20;24;5;5
21;24;8;5;6
21;8;22;6;7
22;8;22;6;6
22;8;22;6;6
22;22;8;6;6
28;22;5;5;5
28;5;24;5;5
28;24;4;5;8
28;5;24;7;7
28;5;10;7;7
28;22;24;7;7
28;24;8;7;6
31;23;21;1;6
31;8;19;6;5
31;19;13;5;5
31;13;19;5;5
31;19;8;5;6
31;8;19;6;5
31;19;5;5;5
31;5;8;5;5
31;8;21;5;6
31;5;24;5;5
31;24;10;7;7
32;10;22;7;9
32;23;19;1;4
32;19;21;4;5
32;21;24;4;4
32;24;10;5;5
32;10;4;7;8
32;4;22;9;9
